column_name,type
Month,categorical
WeekOfMonth,numerical
DayOfWeek,categorical
Make,categorical
AccidentArea,categorical
DayOfWeekClaimed,categorical
MonthClaimed,categorical
WeekOfMonthClaimed,numerical
Sex,categorical
MaritalStatus,categorical
Age,numerical
Fault,categorical
FraudFound_P,numerical
PolicyNumber,numerical
RepNumber,numerical
Deductible,numerical
DriverRating,numerical
Days_Policy_Accident,categorical
Days_Policy_Claim,categorical
PastNumberOfClaims,numerical
AgeOfVehicle,categorical
AgeOfPolicyHolder,
PoliceReportFiled,categorical
WitnessPresent,categorical
AgentType,categorical
NumberOfSuppliments,categorical
AddressChange_Claim,categorical
NumberOfCars,categorical
Year,numerical
